PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH
5.06963,2.49,7.8,1.0,3.30605,5887.0,714.1
17.96832,1.78,0.993,1.0,3.30605,5726.0,0.0915
287.75613,3.4,14.76175,1.0,5.487,4965.0,1987.0
0.8334976,9.0185699,0.993,1.0,1.452144,6071.0,3841.4834968
2.090218,19.2766,0.993,1.0,3.329,6328.0,8180.0
42.032096076,79.17,0.85471,1.0,11.6768,6618.0,391260.0
8.3806973,1.91,1.70818,1.0,3.028,5062.0,650.8
141.00582791,3.567,0.993,1.0,3.0,5726.0,714.1
15.87209,3.49,0.993,1.0,3.30605,5742.0,0.034
16.273563,2.62,0.993,1.0,3.30605,5869.0,714.1
4.175235,12.77,0.993,1.0,3.30605,5726.0,1.3791
8.710442022,3.61,8.43408,1.0,0.9425,5416.0,1196.4
7.0857491,9.46717,0.993,1.0,5.047,5353.0,2227.0
1.52593737,1.39,0.75581,1.0,1.958,6184.0,159.1
3.0749507,1.6050039,0.993,1.0,1.2179384,3246.0,1979.2841401
3.0629783,14.5105081,0.993,1.0,3.0551871,7691.0,4201.1811431
4.264729569,29.95,1.45985,1.0,2.2075,6052.0,22672.0
0.703399912,2.15,9.08068,1.0,0.823,5955.0,531.4
2.3144207,2.71343,0.993,1.0,1.402,3687.0,1720.0
2.896528,1.45,0.993,0.0,3.30605,5726.0,0.3274
7.13969705,2.24,1.0168,1.0,3.981,6014.0,512.9
1.023613,3.567,0.993,0.0,3.30605,6658.58,1.101
153.348739,2.14,0.6781,2.0,12.205,6127.0,388.0
1.3442724,3.567,0.993,1.0,4.6777347,5726.0,44.3806696
0.8165295,4.12435,0.993,1.0,2.294,8911.0,468.0
23.8761144,10.45,0.27909,1.0,9.3113,9974.0,1611.7
8.05428,1.58,0.993,1.0,3.30605,4746.0,714.1
8.7042937,3.59413,0.993,1.0,2.726,5160.9,2130.0
5.7361495,3.567,0.993,1.0,4.718,5668.6,11834.0
356.535835,28.27,1.28518,1.0,5.467,5385.0,3113.0
20.1890396,1.39,0.43345,3.0,6.251,6178.0,112.1
1.111362442,2.86,0.03244,1.0,6.24,6486.0,133.9
7.6188,2.02,0.993,3.0,3.30605,4742.0,714.1
11.1149,14.7645,0.993,1.0,2.26,5042.0,900.0
0.872893,3.567,0.993,0.0,3.30605,5726.0,6.8394
3.548465446,14.92,0.3962,1.0,4.56904,6290.0,7251.5
6.146653835,3.567,0.993,1.0,3.30605,5726.0,714.1
7.35390869,2.29,5.83141,1.0,2.061,6385.0,92.9
9.459993213,51.89,1.43619,1.0,5.3012,5569.0,237600.0
3.8795023,14.0735,0.993,1.0,3.647,6048.0,12260.0
7.4242482,14.2577,0.993,1.0,2.873,5760.0,8060.0
0.539915033,0.82,2.85988,1.0,1.1466,5102.0,97.0
115.230655,4.02,0.00799,2.0,17.735,6585.0,164.4
5.6392638,14.2003,0.993,1.0,4.436,5904.0,7320.0
5.65690281,0.74,1.05642,1.0,3.583,5687.0,32.2
8.2686298,15.9425,0.993,1.0,4.906,6275.0,3650.0
0.445275074,1.21,0.27529,1.0,2.276,5346.0,254.7
10.115,1.1,0.993,3.0,3.30605,3420.0,0.065
5.1699026,9.23587,0.993,0.0,3.30605,6283.4,0.311
31.97280045,5.88,0.26268,1.0,4.9,6340.0,2236.4
1.400903699,1.16,16.78877,1.0,0.883,6375.0,136.5
365.61087,4.42,0.06782,2.0,16.102,6060.0,1116.0
372.72688,3.52,0.15174,1.0,12.751,6148.0,331.7
32.291901,5.1460938,0.993,1.0,8.0916468,6013.0,1517.2139238
2.3929801,1.6929049,0.993,2.0,1.693426,3975.0,570.9865376
384.02570682,3.567,0.993,1.0,14.56,5726.0,714.1
3.58273837,1.64,8.75587,1.0,1.523,5448.0,360.5
8.0637954,9.29431,0.993,2.0,0.804,5053.0,2301.0
1.604607,3.567,0.993,1.0,2.2761218,5780.0,16676.380058
381.782641,55.75,0.34243,1.0,4.52,6056.0,367.6
369.73011,1.66,1.09829,1.0,14.27,6283.0,274.8
7.7898378,9.36784,0.993,1.0,3.095,5091.5,11390.0
9.4907638,1.05,3.38734,4.0,2.713,5290.0,197.4
5.357409918,124.05,1.35904,1.0,4.28582,5768.0,199160.0
19.7112002,9.99929,0.993,1.0,5.452,6636.0,4150.0
2.908454772,40.85,1.3993,1.0,2.6005,5631.0,64325.0
3.51295674,1.1,0.70464,1.0,3.06,6453.0,83.1
7.23524221,0.82,3.06646,5.0,2.685,5574.0,60.0
3.3626798,14.2118,0.993,1.0,3.771,6165.0,11000.0
5.40484,2.46,0.993,6.0,3.30605,5283.0,714.1
8.74809,3.83,0.993,1.0,3.30605,5726.0,0.1449
8.36926,4.48,0.993,1.0,3.30605,3866.0,714.1
0.73452496,3.567,0.993,1.0,6.7,5726.0,714.1
2.23294,15.959056,0.993,1.0,2.032,4814.0,16930.0
3.06026014,0.83,0.66724,1.0,2.545,5878.0,59.9
21.05683,4.05,0.993,2.0,3.30605,6498.0,0.0992
0.56683399,3.567,0.993,2.0,0.75,5726.0,714.1
1.381257093,1.1,6.98068,1.0,1.125,5861.0,92.3
8.32801,2.16480482,0.993,2.0,3.30605,5231.0,714.1
0.844786082,35.27,0.08845,1.0,3.5289,5705.0,2468.5
2.40541,2.0045261,0.993,1.0,1.608779,3768.0,1279.2023438
6.146653835,8.2623708,0.993,1.0,6.1121177,5776.0,3186.7847252
2.696354974,80.71,0.4421,1.0,5.39585,6472.0,245990.0
1.81449,27.0,0.993,0.0,3.30605,5614.0,714.1
7.2929891,0.73,0.94788,2.0,4.053,5959.0,72.5
1.1256838,10.2362,0.993,1.0,1.773,7433.0,3620.0
8.493027,20.982,0.993,1.0,3.733,6287.0,20750.0
282.0309,3.22,0.68607,1.0,14.69,6343.0,782.0
3.2149937,0.9044272,0.993,1.0,0.7022664,3106.0,1438.82974
1.501760172,90.92,0.28491,1.0,5.85519,6327.0,387900.0
388.03884851,3.567,0.993,1.0,4.44,5726.0,714.1
2.161583501,29.61,0.28774,1.0,4.0537,5888.0,50163.0
184.883155,2.82,51.16256,1.0,3.025,5620.0,304.1
17.7259,23.4,0.993,0.0,3.30605,5726.0,0.3338
0.924821319,1.1,0.39547,1.0,2.594,6135.0,122.4
3.1393226,15.43,0.993,0.0,3.30605,6283.0,714.1
0.6711626,12.243,0.993,1.0,1.168,5632.0,2330.0
8.2616616,3.30997,0.993,6.0,3.30605,5281.0,0.1343
2.30367952,1.3,0.02996,2.0,3.0898,6191.0,136.4
38.90787517,7.98,2.00529,3.0,4.5271,5779.0,6159.1
10.8484518,2.34,3.54573,2.0,2.9993,4201.0,1675.6
12.720370263,4.75,1.6008,2.0,2.7306,6267.0,1180.1
8.75209691,1.83,6.09386,5.0,2.3742,3731.0,1367.6
25.0901574,1.35,0.02001,2.0,8.273,6033.0,37.7
1.89124187,0.93,0.18915,1.0,4.415,5285.0,105.8
6.67196,1.697,0.993,2.0,3.30605,5726.0,0.0788
7.4832824,12.264,0.993,1.0,3.802,5306.0,12910.0
2.58166013,3.567,0.993,0.0,3.30605,4998.0,0.499
6.0671557,6.40583,0.993,1.0,2.12,5737.0,2080.0
