PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH
10.00329,2.37,0.993,1.0,3.30605,4197.0,0.12
6.70995253,1.1,2.3894,1.0,2.297,6461.0,86.0
2.18242002,0.7,0.10519,1.0,4.103,5808.0,69.7
6.70242786,1.82,25.63754,1.0,1.221,5466.0,65.3
4.8718955,14.64,0.993,0.0,3.30605,6972.0,714.1
15.85388,3.29,0.993,2.0,3.30605,5726.0,0.1118
1.157804607,118.11,0.58919,1.0,4.66082,6510.0,605710.0
78.5461106,3.55,1.07922,1.0,8.689,5808.0,658.7
6.2185453,19.4459,0.993,1.0,3.122,7968.0,7840.0
1.510826,1.116,5.441939,7.0,3.30605,2566.0,0.7378
5.065329723,60.35,0.68877,1.0,4.90392,6350.0,155610.0
6.5311178,2.85,0.993,1.0,3.30605,5313.0,0.101
0.913244995,0.77,57.96823,1.0,0.4931,5923.0,47.8
1.56494,2.06,0.993,0.0,3.30605,5726.0,0.122
0.89627093,43.47,0.88547,1.0,2.2033,5551.0,66994.0
13.608341,2.25541631,0.993,4.0,3.30605,5477.0,714.1
1.46842648,40.3,0.10523,1.0,6.6666,5539.0,151000.0
2.1990638,1.33,0.41687,1.0,3.197,5003.0,344.8
4.04481159,0.67,1.78424,1.0,2.479,6358.0,33.0
0.8294084,2.4799192,0.993,1.0,0.5583289,5951.67,254.6127529
180.4118581,8.86,5.84583,1.0,3.29,6032.0,4268.0
355.79978,1.87,10.61952,2.0,5.972,6350.0,172.3
0.358378,1.65,0.993,0.0,3.30605,5928.0,714.1
11.3543085,9.40688,0.993,1.0,3.414,6421.0,2190.0
66.6434565,2.99,0.89774,1.0,2.385,5751.0,277.3
24.9163182,12.0398,0.993,1.0,6.745,5778.4,6260.0
0.570828503,0.54,3.53112,1.0,0.915,3585.0,174.4
1.4412175,17.0442,0.993,1.0,1.666,5672.9,12927.0
4.5647147,1.04,0.00923,1.0,13.395,5953.0,99.3
7.4316274,3.567,0.993,1.0,3.868,3505.0,13740.0
3.4507193,8.16973,0.993,1.0,3.498,5712.0,2270.0
16.77217,19.29,0.993,0.0,3.30605,4898.0,0.199
2.68814059,0.92,10.28643,1.0,1.12,5636.0,145.2
53.554546,3.1,1.35626,1.0,5.533,6039.0,127.6
14.4307,2.28,0.993,0.0,3.30605,5726.0,0.0487
160.6760208,3.2160534,0.993,1.0,9.5344918,5389.7,959.8285715
25.503628,1.61,0.16165,1.0,3.913,5815.0,204.4
9.06557317,1.46,13.89039,1.0,1.6208,6075.0,243.4
1.6047466,16.7831,0.993,1.0,2.097,5972.0,5940.0
5.1879527,14.8534,0.993,1.0,5.979,6617.0,3524.0
0.542122617,0.94,2.29284,1.0,1.283,5875.0,88.3
105.0145774,2.29,0.10302,1.0,7.426,5868.0,296.0
20.5311708,1.39,0.59634,1.0,5.67,5398.0,284.6
98.353149,4.13,0.00587,4.0,24.708,6366.0,423.0
14.869943,4.4,0.993,3.0,3.30605,5930.0,0.19
371.18648,2.06,0.41102,1.0,19.929,6231.0,317.9
7.0257409,1.56,1.18245,3.0,2.245,5767.0,190.7
1.10601182,0.77,0.37537,1.0,2.577,6241.0,52.9
0.77845,3.567,0.993,0.0,3.30605,3859.0,0.39
15.1306782,11.9169,0.993,1.0,4.204,5799.3,6030.0
