PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH,DISPOSITION_ENCODED
20.88526,7.07,0.993,2.0,3.30605,5717.0,714.1,2
4.6612025,12.7709747,0.993,1.0,2.1408549,5884.5,5135.6657253,1
7.75192755,1.89,0.94148,2.0,3.5413,5604.0,407.3,2
18.2050594,9.06591,0.993,1.0,3.347,4880.9,10830.0,1
0.566789763,0.4,0.09249,1.0,4.008,5799.0,25.4,0
31.201692472,8.31,41.97515,1.0,2.15663,3748.0,34514.0,1
0.589049151,39.51,0.67757,1.0,2.25397,5592.0,61953.0,0
30.9349,2.5,0.993,1.0,3.30605,5767.0,714.1,2
2.8637988,7.75857,0.993,1.0,2.746,9416.0,266.0,1
49.9950015,2.65286,0.993,1.0,5.109,5274.27,1080.0,1
21.1876185,0.79,0.94594,2.0,3.69,6355.0,71.7,2
0.72359699,6.73,1.56045,1.0,1.326,8855.0,495.6,0
5.670155713,5.85,1.00118,1.0,0.9361,3337.0,536.7,0
161.78832712,36.14,17.58377,1.0,5.31,6018.0,87750.0,0
15.4032765,1.32,1.95877,1.0,3.246,5272.0,253.0,0
4.593595496,44.14,1.38533,1.0,2.7468,5717.0,45034.0,0
2.55234671,3.567,0.993,0.0,3.30605,5726.0,0.63,1
5.4224,3.567,0.993,1.0,3.30605,3318.0,0.18,2
14.658196,1.6,0.993,0.0,3.30605,3610.0,0.106,1
12.53248222,3.24,0.79997,1.0,4.0168,5997.0,1145.9,2
8.24892,5.15613112,3.5,4.0,3.30605,5050.0,714.1,2
469.52303,2.1,8.4705,1.0,5.487,6197.0,355.7,0
2.3843304,2.8597467,0.993,2.0,1.9448395,5296.38,1128.6229858,1
70.468171,3.46,2.18989,1.0,6.653,6461.0,922.4,2
2.225177,1.589,8.84,1.0,3.30605,5520.0,714.1,2
33.1362861,2.05,1.10741,4.0,4.163,4245.0,825.2,2
1.221204888,1.1,0.91608,1.0,1.8511,5874.0,111.6,0
73.91858615,89.96,4.7136,1.0,6.9735,6300.0,184070.0,0
0.5109902,9.54792,0.993,1.0,0.709,6095.0,2720.0,0
4.8494108,2.7650341,0.993,1.0,5.2266368,3861.0,1341.9401258,1
16.563155,1.66,0.993,0.0,3.30605,3669.0,0.101,1
0.566781152,0.54,0.10849,1.0,3.995,3725.0,133.4,0
0.77392,1.3,0.993,4.0,3.30605,5484.0,714.1,2
4.392503,1.11,0.993,0.0,3.30605,4707.0,714.1,1
10.4029111,1.8465904,0.993,3.0,1.3721731,3872.0,824.1851185,1
8.37159554,2.39,0.00806,3.0,5.252,6426.0,98.0,2
4.7378265,20.9386989,0.993,1.0,1.7442136,6533.0,3331.699976,1
7.66462913,1.6,1.31718,5.0,3.614,5640.0,114.1,1
2.1803154,18.3770154,0.993,1.0,2.6629308,7166.0,8016.0263872,1
0.36091387,3.567,0.993,0.0,3.30605,6175.0,0.739,1
15.0764899,2.44538,0.993,1.0,3.981,6149.4,678.0,1
2.24704,18.1799,0.993,1.0,2.713,6846.0,18890.4,0
24.193613,30.7,0.993,0.0,3.30605,5457.0,10.6,1
7.12594387,1.79,0.23879,3.0,3.0014,5779.0,192.4,2
1.89121656,0.73,0.10179,1.0,5.14,5741.0,66.8,0
3.9628496,9.64171,0.993,1.0,2.844,5449.0,4480.0,1
2.458783,3.11,0.993,0.0,3.30605,5726.0,0.0943,1
4.5016988,3.567,0.993,1.0,4.716,5829.0,4360.0,1
5.1175439,12.6029,0.993,1.0,1.483,6429.0,3090.0,1
241.647602,1.88,405.11121,1.0,1.742,5962.0,361.7,0
1.71029474,1.04,0.13516,2.0,2.946,5365.0,158.9,0
3.500869,13.3258,0.993,1.0,3.84,5870.0,6230.0,1
